feature,impact,baseline_probability,counterfactual_probability
Probability_of_Failure_PoF_roll_std_12,2.08007096225149e-06,0.9999999978736254,0.9999979178026631
Bridge_Mood_Meter,4.115937672910519e-07,0.9999999978736254,0.9999995862798581
Probability_of_Failure_PoF_ewm_12,2.15289338578728e-07,0.9999999978736254,0.9999997825842868
Structural_Health_Index_SHI_roll_mean_6,8.916983651463539e-08,0.9999999978736254,0.9999999087037889
Probability_of_Failure_PoF_roll_mean_6,2.6346707371338596e-08,0.9999999978736254,0.999999971526918
Strain_microstrain_roll_mean_6,1.3006507426638336e-08,0.9999999978736254,0.9999999848671179
Estimated_Repair_Cost_USD_incremental,8.198757783794974e-09,0.9999999978736254,0.9999999896748676
Probability_of_Failure_PoF,8.149731001161342e-09,0.9999999978736254,0.9999999897238944
