feature,impact,baseline_probability,counterfactual_probability,contribution_share,normalized_impact,probability_drop,saturated_counterfactual
Probability_of_Failure_PoF_roll_std_12,2.2022653717312934e-06,0.9999999978735865,0.9999977956082148,0.4798407374430361,1.0,2.2022653717312934e-06,True
Probability_of_Failure_PoF_ewm_12,1.693780863787353e-06,0.9999999978735865,0.9999983040927227,0.3690495565063048,0.7691084305865468,1.693780863787353e-06,True
Bridge_Mood_Meter,5.268268130631526e-07,0.9999999978735865,0.9999994710467734,0.1147876953113314,0.23922040450964902,5.268268130631526e-07,True
Structural_Health_Index_SHI_roll_mean_6,9.382954824221912e-08,0.9999999978735865,0.9999999040440383,0.020444057378561375,0.04260592272240823,9.382954824221912e-08,True
Probability_of_Failure_PoF_roll_mean_6,2.9326467809731582e-08,0.9999999978735865,0.9999999685471187,0.0063897993952283984,0.01331650044820748,2.9326467809731582e-08,True
Estimated_Repair_Cost_USD_incremental,1.776491975746808e-08,0.9999999978735865,0.9999999801086668,0.0038707107265363344,0.008066657172882997,1.776491975746808e-08,True
Strain_microstrain_roll_mean_6,1.3389936937002744e-08,0.9999999978735865,0.9999999844836496,0.0029174673028237977,0.006080074231234155,1.3389936937002744e-08,True
Probability_of_Failure_PoF,1.2391743853257253e-08,0.9999999978735865,0.9999999854818427,0.0026999759361778096,0.005626816827944574,1.2391743853257253e-08,True
