feature,impact,baseline_probability,counterfactual_probability,contribution_share,normalized_impact,probability_drop,saturated_counterfactual
Probability_of_Failure_PoF_roll_std_12,2.3989908897181778e-06,0.9999999978736274,0.9999975988827376,0.6749461188865361,1.0,2.3989908897181778e-06,True
Probability_of_Failure_PoF_ewm_12,8.258061032773156e-07,0.9999999978736274,0.9999991720675241,0.2323371158884709,0.3442306124698654,8.258061032773156e-07,True
Bridge_Mood_Meter,1.5577306211600472e-07,0.9999999978736274,0.9999998421005653,0.043826103780919265,0.06493274433997714,1.5577306211600472e-07,True
Structural_Health_Index_SHI_roll_mean_6,9.871926454074753e-08,0.9999999978736274,0.9999998991543628,0.027774254894706245,0.041150329067045605,9.871926454074753e-08,True
Probability_of_Failure_PoF_roll_mean_6,2.866410409030351e-08,0.9999999978736274,0.9999999692095233,0.008064526584918713,0.011948400560066668,2.866410409030351e-08,True
Estimated_Repair_Cost_USD_incremental,2.3932890114153338e-08,0.9999999978736274,0.9999999739407373,0.006733419191176408,0.00997623218025845,2.3932890114153338e-08,True
Strain_microstrain_roll_mean_6,1.5106263240305395e-08,0.9999999978736274,0.9999999827673641,0.004250084395326838,0.006296923971261937,1.5106263240305395e-08,True
Probability_of_Failure_PoF,7.351721786896803e-09,0.9999999978736274,0.9999999905219056,0.002068376377945521,0.0030645059213878253,7.351721786896803e-09,True
