feature,impact,baseline_probability,counterfactual_probability
Probability_of_Failure_PoF_roll_std_12,2.8974082921795485e-06,0.9999999978735983,0.9999971004653061
Probability_of_Failure_PoF_ewm_12,1.9264513673178385e-07,0.9999999978735983,0.9999998052284615
Bridge_Mood_Meter,1.8203493901136625e-07,0.9999999978735983,0.9999998158386593
Structural_Health_Index_SHI_roll_mean_6,8.193283873580981e-08,0.9999999978735983,0.9999999159407595
Probability_of_Failure_PoF,4.946551523943299e-08,0.9999999978735983,0.999999948408083
Probability_of_Failure_PoF_roll_mean_6,2.410860600043918e-08,0.9999999978735983,0.9999999737649923
Strain_microstrain_roll_mean_6,1.5745254988708268e-08,0.9999999978735983,0.9999999821283433
Estimated_Repair_Cost_USD_incremental,9.564868119760206e-09,0.9999999978735983,0.9999999883087302
