feature,impact,baseline_probability,counterfactual_probability
Probability_of_Failure_PoF_roll_std_12,2.107515584048869e-06,0.9999999979051295,0.9999978903895455
Probability_of_Failure_PoF_ewm_12,1.4206256317983446e-06,0.9999999979051295,0.9999985772794977
Bridge_Mood_Meter,6.385094879490794e-07,0.9999999979051295,0.9999993593956416
Structural_Health_Index_SHI_roll_mean_6,1.0184024257231528e-07,0.9999999979051295,0.9999998960648869
Probability_of_Failure_PoF_roll_mean_6,3.1317351378845615e-08,0.9999999979051295,0.9999999665877781
Strain_microstrain_roll_mean_6,1.5682020237939298e-08,0.9999999979051295,0.9999999822231093
Probability_of_Failure_PoF,1.5674186060188333e-08,0.9999999979051295,0.9999999822309434
Estimated_Repair_Cost_USD_incremental,1.3962593303773474e-08,0.9999999979051295,0.9999999839425362
