feature,impact,baseline_probability,counterfactual_probability,contribution_share,normalized_impact,probability_drop,saturated_counterfactual
Probability_of_Failure_PoF_roll_std_12,2.0800505795559587e-06,0.9999999978736289,0.9999979178230494,0.658980346954932,1.0,2.0800505795559587e-06,True
Probability_of_Failure_PoF_ewm_12,8.064071370661452e-07,0.9999999978736289,0.9999991914664919,0.255477660107777,0.3876863115695455,8.064071370661452e-07,True
Bridge_Mood_Meter,1.0732429545079469e-07,0.9999999978736289,0.9999998905493335,0.03400138542205851,0.05159696427848686,1.0732429545079469e-07,True
Structural_Health_Index_SHI_roll_mean_6,9.347754859057034e-08,0.9999999978736289,0.9999999043960803,0.029614600725651904,0.04494003631898488,9.347754859057034e-08,True
Probability_of_Failure_PoF_roll_mean_6,2.9324918382478415e-08,0.9999999978736289,0.9999999685487105,0.009290420665749397,0.014098175626449713,2.9324918382478415e-08,True
Estimated_Repair_Cost_USD_incremental,1.5580482570776155e-08,0.9999999978736289,0.9999999822931464,0.00493604910915539,0.007490434474964651,1.5580482570776155e-08,True
Strain_microstrain_roll_mean_6,1.4274002646530448e-08,0.9999999978736289,0.9999999835996263,0.004522143504055691,0.006862334400338288,1.4274002646530448e-08,True
Probability_of_Failure_PoF,1.0029341912520806e-08,0.9999999978736289,0.999999987844287,0.003177393510620062,0.004821681747114934,1.0029341912520806e-08,True
